"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","HHDI","GROSSADJ","USD_CAP","A","2019",37115.8547108199,"E"
"CZE","HHDI","GROSSADJ","USD_CAP","A","2019",27992.7139285306,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2019",42172.9767694889,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2019",22430.8060975399,"E"
"PRT","HHDI","GROSSADJ","USD_CAP","A","2019",27383.5526401241,"E"
"AUS","HHDI","GROSSADJ","USD_CAP","A","2019",41185.8686347347,"E"
"ITA","HHDI","GROSSADJ","USD_CAP","A","2019",32256.5005045797,
"CAN","HHDI","GROSSADJ","USD_CAP","A","2019",35892.5196030369,"E"
"SVN","HHDI","GROSSADJ","USD_CAP","A","2019",27558.3559094126,
"CHE","HHDI","GROSSADJ","USD_CAP","A","2019",42148.8196208361,"E"
"SVK","HHDI","GROSSADJ","USD_CAP","A","2019",22380.8765210724,
"IRL","HHDI","GROSSADJ","USD_CAP","A","2019",31147.0672935132,
"MEX","HHDI","GROSSADJ","USD_CAP","A","2019",17384.2823900088,
"POL","HHDI","GROSSADJ","USD_CAP","A","2019",24220.1456129681,
"BEL","HHDI","GROSSADJ","USD_CAP","A","2019",37584.8265733818,
"SWE","HHDI","GROSSADJ","USD_CAP","A","2019",35109.6678168069,
"ESP","HHDI","GROSSADJ","USD_CAP","A","2019",28615.8451251664,"E"
"EST","HHDI","GROSSADJ","USD_CAP","A","2019",24850.7694759059,
"KOR","HHDI","GROSSADJ","USD_CAP","A","2019",26798.9867606379,"E"
"GBR","HHDI","GROSSADJ","USD_CAP","A","2019",35111.9324415608,
"HUN","HHDI","GROSSADJ","USD_CAP","A","2019",22112.78883309,"E"
"FIN","HHDI","GROSSADJ","USD_CAP","A","2019",36212.3717586942,
"AUT","HHDI","GROSSADJ","USD_CAP","A","2019",39294.3976466021,
"FRA","HHDI","GROSSADJ","USD_CAP","A","2019",36893.9619416702,"E"
"DNK","HHDI","GROSSADJ","USD_CAP","A","2019",35952.6583830839,
"LVA","HHDI","GROSSADJ","USD_CAP","A","2019",21739.3489307305,
"LTU","HHDI","GROSSADJ","USD_CAP","A","2019",28142.4019922429,
